key,max_price,bookmaker,mean_price,threshold,sample_size,above_threshold,consensus_prob,implied_prob,prob_diff
Royce O'Neale_Over_player_assists_2.5,2.1,Ladbrokes,1.742857142857143,1.8581780043649427,14,0.24182199563505735,57.37704918032786,47.61904761904762,-9.758001561280238
Dillon Brooks_Over_player_points_alternate_14.5,1.38,TAB,1.2225,1.2718288286231625,16,0.1081711713768374,81.79959100204499,72.46376811594203,-9.33582288610296
Julian Champagnie_Over_player_points_alternate_14.5,5.5,Hard Rock Bet,3.7875,4.385650558730067,12,1.1143494412699333,26.402640264026402,18.181818181818183,-8.220822082208219
Collin Gillespie_Over_player_points_alternate_9.5,1.35,TAB,1.2154545454545453,1.268626650239599,11,0.081373349760401,82.27374719521318,74.07407407407408,-8.1996731211391
Julian Champagnie_Over_player_points_alternate_9.5,2.0,Hard Rock Bet,1.752727272727273,1.861086943185512,11,0.13891305681448807,57.05394190871369,50.0,-7.053941908713689
Collin Gillespie_Over_player_assists_alternate_5.5,3.0,TAB,2.4825,2.666547095422159,16,0.33345290457784094,40.28197381671702,33.333333333333336,-6.948640483383684
Royce O'Neale_Over_player_assists_alternate_3.5,3.5,TAB,2.8459999999999996,3.104700046937982,15,0.3952999530620178,35.13703443429375,28.571428571428573,-6.56560586286518
Stephon Castle_Over_player_rebounds_alternate_3.5,1.5,TAB,1.36625,1.4088136777859557,16,0.09118632221404432,73.19304666056725,66.66666666666667,-6.526379993900576
Deandre Ayton_Over_player_points_alternate_9.5,1.33,Ladbrokes,1.2249999999999999,1.272958315233127,12,0.0570416847668731,81.6326530612245,75.18796992481202,-6.444683136412479
Grayson Allen_Over_player_points_alternate_9.5,1.2,TAB,1.1199999999999999,1.153466401061363,11,0.046533598938637066,89.28571428571429,83.33333333333334,-5.952380952380949
Devin Booker_Over_player_points_alternate_24.5,3.8,Betr,3.1154545454545453,3.4092695769408063,11,0.3907304230591935,32.09804493726291,26.315789473684212,-5.7822554635787
Mark Williams_Over_player_points_alternate_9.5,1.58,TAB,1.4477777777777776,1.5294194306096758,18,0.05058056939032429,69.07137375287799,63.291139240506325,-5.780234512371663
LeBron James_Over_player_points_alternate_14.5,1.38,Ladbrokes,1.2794117647058822,1.3400820404011613,17,0.03991795959883859,78.1609195402299,72.46376811594203,-5.697151424287867
Dylan Harper_Over_player_points_alternate_9.5,1.38,Ladbrokes,1.2811764705882351,1.3360493182614215,17,0.04395068173857841,78.0532598714417,72.46376811594203,-5.589491755499665
Royce O'Neale_Over_player_rebounds_alternate_3.5,1.38,TAB,1.2825000000000002,1.3293330367724896,16,0.0506669632275103,77.9727095516569,72.46376811594203,-5.508941435714874
Jalen Williams_Over_player_assists_alternate_5.5,2.2,Hard Rock Bet,1.969375,2.0454862124897946,16,0.1545137875102056,50.77753094255792,45.45454545454545,-5.322985488012463
Royce O'Neale_Over_player_points_alternate_9.5,2.2,BetMGM,1.969444444444444,2.06483665168704,18,0.13516334831296017,50.775740479548666,45.45454545454545,-5.321195025003213
Devin Vassell_Over_player_points_alternate_9.5,1.33,Hard Rock Bet,1.2423529411764704,1.2959170863396188,17,0.0340829136603813,80.49242424242425,75.18796992481202,-5.304454317612226
Grayson Allen_Over_player_assists_alternate_3.5,2.1,TAB,1.8900000000000001,1.9576264248155508,16,0.14237357518444926,52.910052910052904,47.61904761904762,-5.291005291005284
De'Aaron Fox_Over_player_points_alternate_29.5,5.0,Betr,3.955833333333333,4.42161631700576,12,0.5783836829942404,25.279123657046558,20.0,-5.279123657046558
Jalen Williams_Over_player_assists_alternate_7.5,5.5,Hard Rock Bet,4.2645454545454555,4.789071214377394,11,0.7109287856226061,23.449157962054993,18.181818181818183,-5.26733978023681
Devin Vassell_Over_player_rebounds_alternate_3.5,2.3,Hard Rock Bet,2.051875,2.1598391144084457,16,0.14016088559155415,48.735912275357904,43.47826086956522,-5.257651405792686
Stephon Castle_Over_player_points_alternate_9.5,1.24,Ladbrokes,1.1641666666666668,1.196205941806956,12,0.04379405819304405,85.89835361488903,80.64516129032258,-5.253192324566456
Jalen Williams_Over_player_points_alternate_14.5,1.33,Ladbrokes,1.243529411764706,1.296437489653459,17,0.03356251034654112,80.41627246925259,75.18796992481202,-5.228302544440567
Jalen Williams_Over_player_assists_5.5,2.2,Hard Rock Bet,1.9762499999999998,2.0551486691902974,16,0.1448513308097028,50.60088551549652,45.45454545454545,-5.1463400609510686
Devin Booker_Over_player_points_alternate_19.5,1.91,Hard Rock Bet,1.7414285714285715,1.840645283951997,14,0.06935471604800303,57.424118129614435,52.35602094240838,-5.068097187206057
Jalen Williams_Over_player_points_alternate_24.5,4.6,Betr,3.7416666666666667,4.252189274719761,12,0.3478107252802385,26.7260579064588,21.73913043478261,-4.986927471676189
Devin Vassell_Over_player_rebounds_alternate_5.5,7.0,Hard Rock Bet,5.20090909090909,5.946971481670809,11,1.0530285183291914,19.22740779583989,14.285714285714286,-4.941693510125605
Devin Booker_Over_player_points_19.5,1.95,theScore Bet,1.78,1.8959741350474322,13,0.05402586495256778,56.17977528089887,51.282051282051285,-4.897723998847589
Chet Holmgren_Over_player_rebounds_alternate_9.5,2.65,BetMGM,2.3476470588235294,2.479296660596793,17,0.17070333940320692,42.595840641443246,37.735849056603776,-4.85999158483947
Austin Reaves_Over_player_rebounds_alternate_3.5,1.4,DraftKings,1.3112499999999998,1.3482860185045134,16,0.05171398149548656,76.26310772163967,71.42857142857143,-4.83453629306824
Collin Gillespie_Over_player_assists_alternate_3.5,1.4,TAB,1.3118750000000001,1.357073635672625,16,0.042926364327374955,76.22677465459742,71.42857142857143,-4.79820322602599
Ajay Mitchell_Over_player_assists_alternate_1.5,1.38,TAB,1.295,1.3552268439092796,12,0.024773156090720283,77.22007722007723,72.46376811594203,-4.756309104135198
Devin Vassell_Over_player_rebounds_3.5,2.3,Hard Rock Bet,2.076666666666667,2.1661626096446804,15,0.13383739035531939,48.15409309791331,43.47826086956522,-4.675832228348092
Jalen Williams_Over_player_points_alternate_19.5,2.15,Hard Rock Bet,1.9566666666666666,2.0823647175664317,18,0.0676352824335682,51.107325383304946,46.51162790697675,-4.595697476328198
Keldon Johnson_Over_player_rebounds_alternate_3.5,1.37,DraftKings,1.2890909090909093,1.3409473542939012,11,0.02905264570609889,77.574047954866,72.992700729927,-4.581347224939009
Luke Kornet_Over_player_rebounds_alternate_9.5,5.25,PointsBet (AU),4.260000000000001,4.871272889513797,12,0.3787271104862029,23.474178403755865,19.047619047619047,-4.426559356136817
Dillon Brooks_Over_player_points_20.5,2.2,BetRivers,2.0107142857142857,2.1583346035630098,14,0.04166539643699041,49.733570159857905,45.45454545454545,-4.279024705312452
